Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-10-22 23:10:33.938 +0530,"Success",0:00:00,0,0,0,"20241022_231033.938/LogFile.txt","","",1
2024-10-22 23:11:12.056 +0530,"Success",0:00:00,0,0,0,"20241022_231112.056/LogFile.txt","","",1
2024-10-22 23:11:34.009 +0530,"Success",0:00:00,0,0,0,"20241022_231134.009/LogFile.txt","","",1
2024-10-23 14:36:09.107 +0530,"Success",0:00:00,0,0,0,"20241023_143609.107/LogFile.txt","","",1
2024-10-23 14:36:33.853 +0530,"Success",0:00:00,0,0,0,"20241023_143633.853/LogFile.txt","","",1
2024-10-23 14:53:28.604 +0530,"Success",0:00:00,0,0,0,"20241023_145328.604/LogFile.txt","","",1
2024-10-23 14:54:31.765 +0530,"Success",0:00:00,0,0,0,"20241023_145431.765/LogFile.txt","","",1
2024-10-23 14:56:24.758 +0530,"Success",0:00:00,0,0,0,"20241023_145624.758/LogFile.txt","","",1
2024-10-23 15:46:36.890 +0530,"Success",0:00:00,0,0,0,"20241023_154636.890/LogFile.txt","","",1
2024-10-23 15:46:52.844 +0530,"Success",0:00:00,0,0,0,"20241023_154652.844/LogFile.txt","","",1
2024-10-23 15:58:57.389 +0530,"Failure",0:00:07,1,0,0,"20241023_155857.389/LogFile.txt","","STMaxCallDepthExceeded -- Handlers were called to a depth exceeding the maximum limit (40). HINT: One common cause for this error is a script that has been given the same name as a built-in command or function unintentionally calling itself.",0
