Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-08-29 15:47:55.791 +0530,"Failure",0:00:00,1,0,0,"20240829_154755.791/LogFile.txt","","STFileException -- File C:/Users/durgaprasad.surath/OneDrive - Ideabytes/Documents/Eggplant/EggplantSuites/Personal/RandD/R&D.suite/Resources/gen_kal.xlsx couldn't be read using the defaultStringEncoding (UTF8)",0
2024-08-29 15:49:39.485 +0530,"Failure",0:00:00,1,0,0,"20240829_154939.485/LogFile.txt","","STFileException -- File C:/Users/durgaprasad.surath/OneDrive - Ideabytes/Documents/Eggplant/EggplantSuites/Personal/RandD/R&D.suite/Resources/gen_kal.xlsx couldn't be read using the defaultStringEncoding (UTF8)",0
2024-08-29 15:49:44.014 +0530,"Failure",0:00:00,1,0,0,"20240829_154944.014/LogFile.txt","","STFileException -- File C:/Users/durgaprasad.surath/OneDrive - Ideabytes/Documents/Eggplant/EggplantSuites/Personal/RandD/R&D.suite/Resources/gen_kal.xlsx couldn't be read using the defaultStringEncoding (UTF8)",0
2024-08-29 15:50:14.992 +0530,"Failure",0:00:00,1,0,0,"20240829_155014.992/LogFile.txt","","Worksheet Error -- Cell() requires a worksheet to read from (got: (null))",0
2024-08-29 15:50:48.304 +0530,"Success",0:00:00,0,0,0,"20240829_155048.304/LogFile.txt","","",1
2024-08-29 15:51:32.619 +0530,"Success",0:00:00,0,0,0,"20240829_155132.619/LogFile.txt","","",1
2024-08-29 15:52:44.017 +0530,"Success",0:00:00,0,0,0,"20240829_155244.017/LogFile.txt","","",1
2024-08-29 15:55:04.527 +0530,"Failure",0:00:00,1,0,0,"20240829_155504.527/LogFile.txt","","Invalid Range -- Only numeric, date/time, and character ranges are supported (got ""TypeText ""google...."" TO "",Return"").",0
2024-08-29 15:55:13.301 +0530,"Failure",0:00:00,1,0,0,"20240829_155513.301/LogFile.txt","","Invalid Range -- Only numeric, date/time, and character ranges are supported (got ""TypeText ""google...."" TO "",Return"").",0
2024-08-29 15:56:11.633 +0530,"Success",0:00:00,0,0,0,"20240829_155611.633/LogFile.txt","","",1
2024-08-29 15:57:57.124 +0530,"Failure",0:00:00,1,0,0,"20240829_155757.124/LogFile.txt","","STInvalidNumber -- Value is not a number: 'count'",0
2024-08-29 15:58:10.002 +0530,"Success",0:00:00,0,0,0,"20240829_155810.002/LogFile.txt","","",1
2024-08-29 15:59:10.409 +0530,"Success",0:00:00,0,0,0,"20240829_155910.409/LogFile.txt","","",1
2024-08-29 16:00:45.961 +0530,"Success",0:00:00,0,0,0,"20240829_160045.961/LogFile.txt","","",1
2024-08-29 16:01:39.276 +0530,"Success",0:00:00,0,0,0,"20240829_160139.276/LogFile.txt","","",1
2024-08-29 16:07:42.280 +0530,"Failure",0:00:00,1,0,0,"20240829_160742.280/LogFile.txt","","Workbook Error -- Wrong file type (must be 'xls' or 'xlsx' file): C:/Users/durgaprasad.surath/OneDrive - Ideabytes/Documents/Eggplant/EggplantSuites/Personal/RandD/R&D.suite/Resources/gen_kal.script",0
2024-08-29 16:08:04.791 +0530,"Failure",0:00:00,1,0,0,"20240829_160804.791/LogFile.txt","","Workbook Error -- Wrong file type (must be 'xls' or 'xlsx' file): C:/Users/durgaprasad.surath/Documents/universalmyWorkBook",0
2024-08-29 16:08:28.970 +0530,"Failure",0:00:00,1,0,0,"20240829_160828.970/LogFile.txt","","Workbook Error -- Wrong file type (must be 'xls' or 'xlsx' file): C:/Users/durgaprasad.surath/Documents/universalmyWorkBook",0
2024-08-29 16:08:42.245 +0530,"Success",0:00:00,0,0,0,"20240829_160842.245/LogFile.txt","","",1
2024-08-29 16:09:22.991 +0530,"Success",0:00:00,0,0,0,"20240829_160922.991/LogFile.txt","","",1
2024-08-29 16:10:54.679 +0530,"Success",0:00:00,0,0,0,"20240829_161054.679/LogFile.txt","","",1
2024-08-29 16:11:12.566 +0530,"Success",0:00:00,0,0,0,"20240829_161112.566/LogFile.txt","","",1
2024-08-29 16:12:46.329 +0530,"Success",0:00:00,0,0,0,"20240829_161246.329/LogFile.txt","","",1
2024-08-29 16:13:16.116 +0530,"Success",0:00:00,0,0,0,"20240829_161316.116/LogFile.txt","","",1
2024-08-29 16:13:28.649 +0530,"Success",0:00:00,0,0,0,"20240829_161328.649/LogFile.txt","","",1
2024-08-29 16:13:53.957 +0530,"Success",0:00:00,0,0,0,"20240829_161353.957/LogFile.txt","","",1
2024-08-29 16:14:41.098 +0530,"Success",0:00:00,0,0,0,"20240829_161441.098/LogFile.txt","","",1
2024-08-29 16:16:10.196 +0530,"Success",0:00:00,0,0,0,"20240829_161610.196/LogFile.txt","","",1
2024-08-29 16:16:30.379 +0530,"Success",0:00:00,0,0,0,"20240829_161630.379/LogFile.txt","","",1
2024-08-29 16:16:50.051 +0530,"Success",0:00:00,0,0,0,"20240829_161650.051/LogFile.txt","","",1
2024-08-29 16:17:00.906 +0530,"Success",0:00:00,0,0,0,"20240829_161700.906/LogFile.txt","","",1
2024-08-29 16:17:08.523 +0530,"Success",0:00:00,0,0,0,"20240829_161708.523/LogFile.txt","","",1
2024-08-29 16:17:27.800 +0530,"Success",0:00:00,0,0,0,"20240829_161727.800/LogFile.txt","","",1
2024-08-29 16:17:41.149 +0530,"Success",0:00:00,0,0,0,"20240829_161741.149/LogFile.txt","","",1
2024-08-29 16:17:50.301 +0530,"Success",0:00:00,0,0,0,"20240829_161750.301/LogFile.txt","","",1
2024-08-29 16:18:05.261 +0530,"Success",0:00:00,0,0,0,"20240829_161805.261/LogFile.txt","","",1
2024-08-29 16:18:18.665 +0530,"Success",0:00:00,0,0,0,"20240829_161818.665/LogFile.txt","","",1
2024-08-29 16:18:46.595 +0530,"Success",0:00:00,0,0,0,"20240829_161846.595/LogFile.txt","","",1
2024-08-29 16:18:55.796 +0530,"Success",0:00:00,0,0,0,"20240829_161855.796/LogFile.txt","","",1
2024-08-29 16:19:08.183 +0530,"Success",0:00:00,0,0,0,"20240829_161908.183/LogFile.txt","","",1
2024-08-29 16:19:30.929 +0530,"Success",0:00:00,0,0,0,"20240829_161930.929/LogFile.txt","","",1
2024-08-29 16:19:55.237 +0530,"Success",0:00:00,0,0,0,"20240829_161955.237/LogFile.txt","","",1
2024-08-29 16:20:20.255 +0530,"Failure",0:00:00,1,0,0,"20240829_162020.255/LogFile.txt","","STFileException -- Failed to read file C:/Users/durgaprasad.surath/Documents",0
2024-08-29 16:20:33.676 +0530,"Success",0:00:00,0,0,0,"20240829_162033.676/LogFile.txt","","",1
2024-08-29 16:22:51.771 +0530,"Success",0:00:00,0,0,0,"20240829_162251.771/LogFile.txt","","",1
2024-08-29 16:23:06.806 +0530,"Success",0:00:00,0,0,0,"20240829_162306.806/LogFile.txt","","",1
2024-08-29 16:23:21.197 +0530,"Success",0:00:00,0,0,0,"20240829_162321.197/LogFile.txt","","",1
2024-08-29 16:23:42.093 +0530,"Success",0:00:00,0,0,0,"20240829_162342.093/LogFile.txt","","",1
2024-08-29 16:32:17.303 +0530,"Success",0:00:00,0,0,0,"20240829_163217.303/LogFile.txt","","",1
2024-08-29 16:34:20.465 +0530,"Success",0:00:00,0,0,0,"20240829_163420.465/LogFile.txt","","",1
2024-08-29 16:48:43.806 +0530,"Success",0:00:00,0,0,0,"20240829_164843.806/LogFile.txt","","",1
2024-08-29 16:52:26.182 +0530,"Success",0:00:00,0,0,0,"20240829_165226.182/LogFile.txt","","",1
2024-08-29 17:06:54.248 +0530,"Success",0:00:00,0,0,0,"20240829_170654.248/LogFile.txt","","",1
2024-08-29 17:07:06.199 +0530,"Success",0:00:00,0,0,0,"20240829_170706.199/LogFile.txt","","",1
2024-08-29 17:08:09.401 +0530,"Success",0:00:00,0,0,0,"20240829_170809.401/LogFile.txt","","",1
2024-08-29 17:10:11.464 +0530,"Success",0:00:00,0,0,0,"20240829_171011.464/LogFile.txt","","",1
2024-08-29 17:10:50.650 +0530,"Success",0:00:00,0,0,0,"20240829_171050.650/LogFile.txt","","",1
2024-08-29 17:11:22.791 +0530,"Success",0:00:00,0,0,0,"20240829_171122.791/LogFile.txt","","",1
2024-08-29 17:11:44.909 +0530,"Success",0:00:00,0,0,0,"20240829_171144.909/LogFile.txt","","",1
2024-08-29 17:12:00.060 +0530,"Success",0:00:00,0,0,0,"20240829_171200.060/LogFile.txt","","",1
2024-08-29 17:12:20.806 +0530,"Success",0:00:00,0,0,0,"20240829_171220.806/LogFile.txt","","",1
2024-08-30 09:49:21.920 +0530,"Success",0:00:00,0,0,0,"20240830_094921.920/LogFile.txt","","",1
2024-08-30 09:49:53.877 +0530,"Success",0:00:00,0,0,0,"20240830_094953.877/LogFile.txt","","",1
2024-08-30 09:50:36.686 +0530,"Success",0:00:00,0,0,0,"20240830_095036.686/LogFile.txt","","",1
2024-08-30 09:58:43.059 +0530,"Success",0:00:00,0,0,0,"20240830_095843.059/LogFile.txt","","",1
2024-08-30 10:03:34.965 +0530,"Success",0:00:00,0,0,0,"20240830_100334.965/LogFile.txt","","",1
2024-08-30 10:04:01.317 +0530,"Success",0:00:00,0,0,0,"20240830_100401.317/LogFile.txt","","",1
2024-08-30 10:09:55.551 +0530,"Success",0:00:00,0,0,0,"20240830_100955.551/LogFile.txt","","",1
2024-08-30 10:10:59.914 +0530,"Success",0:00:00,0,0,0,"20240830_101059.914/LogFile.txt","","",1
2024-08-30 10:11:31.451 +0530,"Success",0:00:00,0,0,0,"20240830_101131.451/LogFile.txt","","",1
2024-08-30 10:16:29.947 +0530,"Success",0:00:00,0,0,0,"20240830_101629.947/LogFile.txt","","",1
2024-08-30 10:20:56.109 +0530,"Success",0:00:00,0,0,0,"20240830_102056.109/LogFile.txt","","",1
2024-08-30 10:23:54.951 +0530,"Success",0:00:00,0,0,0,"20240830_102354.951/LogFile.txt","","",1
2024-08-30 10:24:59.777 +0530,"Success",0:00:00,0,0,0,"20240830_102459.777/LogFile.txt","","",1
2024-08-30 10:29:54.200 +0530,"Success",0:00:00,0,0,0,"20240830_102954.200/LogFile.txt","","",1
2024-08-30 10:32:54.804 +0530,"Success",0:00:00,0,0,0,"20240830_103254.804/LogFile.txt","","",1
2024-08-30 10:34:06.924 +0530,"Success",0:00:00,0,0,0,"20240830_103406.924/LogFile.txt","","",1
2024-08-30 10:34:24.512 +0530,"Success",0:00:00,0,0,0,"20240830_103424.512/LogFile.txt","","",1
2024-08-30 10:34:39.390 +0530,"Success",0:00:00,0,0,0,"20240830_103439.390/LogFile.txt","","",1
2024-08-30 10:36:46.581 +0530,"Success",0:00:00,0,0,0,"20240830_103646.581/LogFile.txt","","",1
2024-08-30 10:36:59.025 +0530,"Success",0:00:00,0,0,0,"20240830_103659.025/LogFile.txt","","",1
2024-08-30 10:38:02.415 +0530,"Failure",0:00:00,1,0,0,"20240830_103802.415/LogFile.txt","","STFileException -- Failed to write to file C:/Users/durgaprasad.surath/Documents/""Modified_gen_kal.script""",0
2024-08-30 10:38:39.199 +0530,"Success",0:00:00,0,0,0,"20240830_103839.199/LogFile.txt","","",1
2024-08-30 10:40:03.170 +0530,"Success",0:00:00,0,0,0,"20240830_104003.170/LogFile.txt","","",1
2024-08-30 10:43:41.897 +0530,"Failure",0:00:00,1,0,0,"20240830_104341.897/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'readdata'",0
2024-08-30 10:43:57.059 +0530,"Success",0:00:00,0,0,0,"20240830_104357.059/LogFile.txt","","",1
2024-08-30 10:48:51.893 +0530,"Success",0:00:00,0,0,0,"20240830_104851.893/LogFile.txt","","",1
2024-08-30 11:25:04.032 +0530,"Success",0:00:00,0,0,0,"20240830_112504.032/LogFile.txt","","",1
2024-08-30 11:25:47.933 +0530,"Success",0:00:00,0,0,0,"20240830_112547.933/LogFile.txt","","",1
2024-08-30 11:27:11.316 +0530,"Success",0:00:00,0,0,0,"20240830_112711.316/LogFile.txt","","",1
2024-08-30 11:40:16.364 +0530,"Success",0:00:05,0,0,0,"20240830_114016.364/LogFile.txt","","",1
2024-08-30 11:46:50.487 +0530,"Success",0:00:15,0,0,0,"20240830_114650.487/LogFile.txt","","",1
2024-08-30 11:50:33.451 +0530,"Success",0:00:03,0,0,0,"20240830_115033.451/LogFile.txt","","",1
2024-08-30 11:52:07.211 +0530,"Success",0:00:03,0,0,0,"20240830_115207.211/LogFile.txt","","",1
2024-08-30 11:53:17.110 +0530,"Success",0:00:03,0,0,0,"20240830_115317.110/LogFile.txt","","",1
2024-08-30 11:54:20.015 +0530,"Success",0:00:03,0,0,0,"20240830_115420.015/LogFile.txt","","",1
2024-08-30 11:56:24.853 +0530,"Success",0:00:03,0,0,0,"20240830_115624.853/LogFile.txt","","",1
2024-08-30 11:58:10.219 +0530,"Success",0:00:04,0,0,0,"20240830_115810.219/LogFile.txt","","",1
2024-08-30 11:58:46.832 +0530,"Success",0:00:03,0,0,0,"20240830_115846.832/LogFile.txt","","",1
2024-08-30 11:59:14.293 +0530,"Success",0:00:02,0,0,0,"20240830_115914.293/LogFile.txt","","",1
2024-08-30 12:00:12.084 +0530,"Success",0:00:03,0,0,0,"20240830_120012.084/LogFile.txt","","",1
