Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-02-13 16:41:15.446 +0530,"Failure",0:00:00,1,0,0,"20240213_164115.446/LogFile.txt","","STInvalidBoolean -- Value 'ffte' is not TRUE, FALSE, YES, NO, ON, OFF or empty",0
2024-02-13 16:41:36.891 +0530,"Failure",0:00:00,1,0,0,"20240213_164136.891/LogFile.txt","","STInvalidBoolean -- Value 'Games/ffte' is not TRUE, FALSE, YES, NO, ON, OFF or empty",0
2024-02-13 16:41:44.760 +0530,"Success",0:00:00,0,0,0,"20240213_164144.760/LogFile.txt","","",1
2024-02-13 16:45:37.765 +0530,"Success",0:00:00,0,0,0,"20240213_164537.765/LogFile.txt","","",1
2024-02-13 16:47:34.962 +0530,"Success",0:00:00,0,0,0,"20240213_164734.962/LogFile.txt","","",1
2024-03-01 10:46:24.238 +0530,"Success",0:00:00,0,0,0,"20240301_104624.238/LogFile.txt","","",1
2024-03-01 10:47:06.893 +0530,"Success",0:00:00,0,0,0,"20240301_104706.893/LogFile.txt","","",1
2024-03-01 10:48:48.705 +0530,"Success",0:00:00,0,0,0,"20240301_104848.705/LogFile.txt","","",1
2024-03-01 10:49:00.408 +0530,"Success",0:00:00,0,0,0,"20240301_104900.408/LogFile.txt","","",1
2024-03-01 10:49:10.573 +0530,"Success",0:00:00,0,0,0,"20240301_104910.573/LogFile.txt","","",1
2024-03-01 10:50:02.166 +0530,"Success",0:00:00,0,0,0,"20240301_105002.166/LogFile.txt","","",1
2024-03-01 10:50:11.473 +0530,"Success",0:00:00,0,0,0,"20240301_105011.473/LogFile.txt","","",1
2024-03-01 10:50:32.005 +0530,"Failure",0:00:00,1,0,0,"20240301_105032.005/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'json read'",0
2024-03-01 10:50:58.109 +0530,"Success",0:00:00,0,0,0,"20240301_105058.109/LogFile.txt","","",1
2024-03-01 10:51:11.308 +0530,"Success",0:00:00,0,0,0,"20240301_105111.308/LogFile.txt","","",1
2024-03-01 10:51:24.527 +0530,"Success",0:00:00,0,0,0,"20240301_105124.527/LogFile.txt","","",1
