Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-03-18 14:19:16.280 +0530,"Success",0:00:00,0,0,0,"20240318_141916.280/LogFile.txt","","",1
2024-03-18 14:22:56.080 +0530,"Success",0:00:04,0,0,0,"20240318_142256.080/LogFile.txt","","",1
2024-03-18 14:23:22.345 +0530,"Success",0:00:04,0,0,0,"20240318_142322.345/LogFile.txt","","",1
2024-03-18 14:24:47.843 +0530,"Success",0:00:03,0,0,0,"20240318_142447.843/LogFile.txt","","",1
2024-03-18 14:25:07.501 +0530,"Success",0:00:04,0,0,0,"20240318_142507.501/LogFile.txt","","",1
2024-03-18 14:37:42.102 +0530,"Success",0:00:02,0,0,0,"20240318_143742.102/LogFile.txt","","",1
2024-03-18 14:37:51.986 +0530,"Success",0:00:00,0,0,0,"20240318_143751.986/LogFile.txt","","",1
2024-03-18 14:37:56.038 +0530,"Success",0:00:00,0,0,0,"20240318_143756.038/LogFile.txt","","",1
2024-03-18 14:38:05.825 +0530,"Success",0:00:02,0,0,0,"20240318_143805.825/LogFile.txt","","",1
2024-03-18 14:38:16.500 +0530,"Success",0:00:02,0,0,0,"20240318_143816.500/LogFile.txt","","",1
2024-03-18 14:39:30.609 +0530,"Success",0:00:02,0,0,0,"20240318_143930.609/LogFile.txt","","",1
2024-03-18 14:39:45.204 +0530,"Success",0:00:02,0,0,0,"20240318_143945.204/LogFile.txt","","",1
2024-03-18 14:41:42.859 +0530,"Success",0:00:01,0,0,0,"20240318_144142.859/LogFile.txt","","",1
2024-03-18 14:41:58.044 +0530,"Success",0:00:02,0,0,0,"20240318_144158.044/LogFile.txt","","",1
2024-03-18 14:42:12.194 +0530,"Success",0:00:02,0,0,0,"20240318_144212.194/LogFile.txt","","",1
