Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-04-24 11:05:58.093 +0530,"Success",0:00:00,0,0,0,"20240424_110558.093/LogFile.txt","","",1
2024-04-24 11:06:45.593 +0530,"Success",0:00:00,0,0,0,"20240424_110645.593/LogFile.txt","","",1
2024-04-24 11:06:56.882 +0530,"Success",0:00:00,0,0,0,"20240424_110656.882/LogFile.txt","","",1
2024-04-24 11:07:58.846 +0530,"Failure",0:00:00,1,0,0,"20240424_110758.846/LogFile.txt","","STInvalidNumber -- Value is not a number: 'miinimal'",0
2024-04-24 11:08:04.482 +0530,"Success",0:00:00,0,0,0,"20240424_110804.482/LogFile.txt","","",1
2024-04-24 11:08:14.890 +0530,"Success",0:00:00,0,0,0,"20240424_110814.890/LogFile.txt","","",1
2024-04-24 11:11:00.458 +0530,"Success",0:00:00,0,0,0,"20240424_111100.458/LogFile.txt","","",1
2024-04-24 11:11:12.469 +0530,"Success",0:00:00,0,0,0,"20240424_111112.469/LogFile.txt","","",1
2024-04-24 11:14:05.147 +0530,"Success",0:00:00,0,0,0,"20240424_111405.147/LogFile.txt","","",1
2024-04-24 11:14:13.117 +0530,"Success",0:00:03,0,0,0,"20240424_111413.117/LogFile.txt","","",1
2024-04-24 11:14:22.386 +0530,"Success",0:09:31,0,0,0,"20240424_111422.386/LogFile.txt","","",1
