Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-02-19 10:28:23.270 +0530,"Success",0:00:00,0,0,0,"20240219_102823.270/LogFile.txt","","",1
2024-02-19 10:50:02.119 +0530,"Success",0:00:00,0,0,0,"20240219_105002.119/LogFile.txt","","",1
2024-02-19 10:50:34.200 +0530,"Success",0:00:00,0,0,0,"20240219_105034.200/LogFile.txt","","",1
2024-02-19 10:51:02.395 +0530,"Success",0:00:00,0,0,0,"20240219_105102.395/LogFile.txt","","",1
2024-02-19 10:51:44.956 +0530,"Success",0:00:00,0,0,0,"20240219_105144.956/LogFile.txt","","",1
2024-02-19 10:52:02.835 +0530,"Success",0:00:00,0,0,0,"20240219_105202.835/LogFile.txt","","",1
2024-02-19 10:52:18.078 +0530,"Success",0:00:00,0,0,0,"20240219_105218.078/LogFile.txt","","",1
2024-02-19 10:52:37.069 +0530,"Success",0:00:00,0,0,0,"20240219_105237.069/LogFile.txt","","",1
2024-02-19 10:53:00.943 +0530,"Success",0:00:00,0,0,0,"20240219_105300.943/LogFile.txt","","",1
2024-02-19 10:53:10.420 +0530,"Success",0:00:00,0,0,0,"20240219_105310.420/LogFile.txt","","",1
2024-02-19 10:54:35.643 +0530,"Success",0:00:00,0,0,0,"20240219_105435.643/LogFile.txt","","",1
2024-02-19 10:54:52.117 +0530,"Success",0:00:00,0,0,0,"20240219_105452.117/LogFile.txt","","",1
2024-02-19 10:54:57.101 +0530,"Success",0:00:00,0,0,0,"20240219_105457.101/LogFile.txt","","",1
2024-02-19 10:55:01.793 +0530,"Success",0:00:00,0,0,0,"20240219_105501.793/LogFile.txt","","",1
2024-02-19 10:55:17.005 +0530,"Success",0:00:00,0,0,0,"20240219_105517.005/LogFile.txt","","",1
2024-02-19 10:55:25.716 +0530,"Success",0:00:00,0,0,0,"20240219_105525.716/LogFile.txt","","",1
2024-02-19 10:55:30.526 +0530,"Success",0:00:00,0,0,0,"20240219_105530.526/LogFile.txt","","",1
2024-02-19 10:59:03.137 +0530,"Success",0:00:00,0,0,0,"20240219_105903.137/LogFile.txt","","",1
2024-02-19 10:59:26.178 +0530,"Success",0:00:00,0,0,0,"20240219_105926.178/LogFile.txt","","",1
2024-02-19 11:01:45.107 +0530,"Success",0:00:00,0,0,0,"20240219_110145.107/LogFile.txt","","",1
2024-02-19 11:02:54.601 +0530,"Success",0:00:00,0,0,0,"20240219_110254.601/LogFile.txt","","",1
2024-02-19 11:03:01.506 +0530,"Success",0:00:00,0,0,0,"20240219_110301.506/LogFile.txt","","",1
2024-02-19 11:03:31.014 +0530,"Success",0:00:00,0,0,0,"20240219_110331.014/LogFile.txt","","",1
2024-02-19 11:03:52.014 +0530,"Success",0:00:00,0,0,0,"20240219_110352.014/LogFile.txt","","",1
2024-02-19 11:03:58.358 +0530,"Success",0:00:00,0,0,0,"20240219_110358.358/LogFile.txt","","",1
2024-02-19 11:12:38.238 +0530,"Success",0:00:00,0,0,0,"20240219_111238.238/LogFile.txt","","",1
2024-02-19 11:13:04.912 +0530,"Success",0:00:00,0,0,0,"20240219_111304.912/LogFile.txt","","",1
2024-02-19 11:13:53.743 +0530,"Success",0:00:00,0,0,0,"20240219_111353.743/LogFile.txt","","",1
2024-02-19 11:15:04.072 +0530,"Success",0:00:00,0,0,0,"20240219_111504.072/LogFile.txt","","",1
2024-02-19 11:15:41.230 +0530,"Success",0:00:00,0,0,0,"20240219_111541.230/LogFile.txt","","",1
2024-02-19 11:17:27.051 +0530,"Success",0:00:00,0,0,0,"20240219_111727.051/LogFile.txt","","",1
2024-02-19 11:21:40.456 +0530,"Success",0:00:00,0,0,0,"20240219_112140.456/LogFile.txt","","",1
2024-02-19 11:22:00.172 +0530,"Success",0:00:00,0,0,0,"20240219_112200.172/LogFile.txt","","",1
2024-02-19 11:22:05.050 +0530,"Success",0:00:00,0,0,0,"20240219_112205.050/LogFile.txt","","",1
2024-02-19 11:22:31.584 +0530,"Success",0:00:00,0,0,0,"20240219_112231.584/LogFile.txt","","",1
2024-02-19 11:24:45.516 +0530,"Success",0:00:00,0,0,0,"20240219_112445.516/LogFile.txt","","",1
2024-02-19 11:25:12.867 +0530,"Success",0:00:01,0,0,0,"20240219_112512.867/LogFile.txt","","",1
2024-02-19 11:26:36.280 +0530,"Success",0:00:00,0,0,0,"20240219_112636.280/LogFile.txt","","",1
2024-02-19 11:27:03.364 +0530,"Success",0:00:00,0,0,0,"20240219_112703.364/LogFile.txt","","",1
2024-02-19 11:27:27.209 +0530,"Success",0:00:00,0,0,0,"20240219_112727.209/LogFile.txt","","",1
2024-02-19 11:27:33.074 +0530,"Success",0:00:00,0,0,0,"20240219_112733.074/LogFile.txt","","",1
2024-02-19 11:27:34.587 +0530,"Success",0:00:00,0,0,0,"20240219_112734.587/LogFile.txt","","",1
2024-02-19 11:27:36.085 +0530,"Success",0:00:00,0,0,0,"20240219_112736.085/LogFile.txt","","",1
2024-02-19 11:27:37.370 +0530,"Success",0:00:00,0,0,0,"20240219_112737.370/LogFile.txt","","",1
2024-02-19 11:27:38.722 +0530,"Success",0:00:00,0,0,0,"20240219_112738.722/LogFile.txt","","",1
2024-02-19 15:30:15.138 +0530,"Success",0:00:01,0,0,0,"20240219_153015.138/LogFile.txt","","",1
