Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-03-07 16:04:10.663 +0530,"Aborted",0:00:27,2,0,0,"20240307_160410.663/LogFile.txt","","",0
2024-03-07 16:05:05.257 +0530,"Success",0:00:11,0,5,0,"20240307_160505.257/LogFile.txt","","",1
2024-03-07 16:05:32.575 +0530,"Success",0:00:10,0,5,0,"20240307_160532.575/LogFile.txt","","",1
2024-03-07 16:06:08.888 +0530,"Success",0:00:10,0,5,0,"20240307_160608.888/LogFile.txt","","",1
2024-03-07 16:09:00.784 +0530,"Success",0:00:10,0,5,0,"20240307_160900.784/LogFile.txt","","",1
2024-03-07 16:10:01.053 +0530,"Success",0:00:10,0,5,0,"20240307_161001.053/LogFile.txt","","",1
2024-03-07 16:11:48.603 +0530,"Success",0:00:10,0,5,0,"20240307_161148.603/LogFile.txt","","",1
2024-03-07 16:14:08.698 +0530,"Success",0:00:01,0,5,0,"20240307_161408.698/LogFile.txt","","",1
2024-03-07 16:14:26.523 +0530,"Success",0:00:00,0,0,0,"20240307_161426.523/LogFile.txt","","",1
2024-03-07 16:14:44.880 +0530,"Success",0:00:10,0,4,0,"20240307_161444.880/LogFile.txt","","",1
2024-03-07 16:15:10.515 +0530,"Success",0:00:13,0,4,0,"20240307_161510.515/LogFile.txt","","",1
