Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-02-21 20:58:32.076 +0530,"Success",0:00:01,0,0,0,"20240221_205832.076/LogFile.txt","","",1
2024-02-21 21:00:24.895 +0530,"Success",0:00:00,0,0,0,"20240221_210024.895/LogFile.txt","","",1
2024-02-21 21:01:20.697 +0530,"Success",0:00:01,0,0,0,"20240221_210120.697/LogFile.txt","","",1
2024-02-21 21:06:13.714 +0530,"Success",0:00:00,0,0,0,"20240221_210613.714/LogFile.txt","","",1
2024-02-21 21:06:47.454 +0530,"Success",0:00:01,0,0,0,"20240221_210647.454/LogFile.txt","","",1
2024-02-21 21:08:46.551 +0530,"Success",0:00:01,0,0,0,"20240221_210846.551/LogFile.txt","","",1
2024-02-21 21:10:46.995 +0530,"Success",0:00:00,0,0,0,"20240221_211046.995/LogFile.txt","","",1
2024-02-21 21:10:58.777 +0530,"Success",0:00:00,0,0,0,"20240221_211058.777/LogFile.txt","","",1
2024-02-22 09:44:34.140 +0530,"Success",0:00:00,0,0,0,"20240222_094434.140/LogFile.txt","","",1
2024-02-22 09:46:20.222 +0530,"Success",0:00:00,0,0,0,"20240222_094620.222/LogFile.txt","","",1
2024-02-22 09:46:29.648 +0530,"Success",0:00:00,0,0,0,"20240222_094629.648/LogFile.txt","","",1
2024-02-22 09:47:44.390 +0530,"Success",0:00:00,0,0,0,"20240222_094744.390/LogFile.txt","","",1
2024-02-22 09:48:02.196 +0530,"Success",0:00:00,0,0,0,"20240222_094802.196/LogFile.txt","","",1
2024-02-22 09:49:23.294 +0530,"Success",0:00:01,0,0,0,"20240222_094923.294/LogFile.txt","","",1
2024-02-22 09:50:46.337 +0530,"Success",0:00:01,0,0,0,"20240222_095046.337/LogFile.txt","","",1
2024-02-22 10:11:35.585 +0530,"Success",0:00:00,0,0,0,"20240222_101135.585/LogFile.txt","","",1
