Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Test3/optum,Success,2,0,2024-09-17 15:02:32 +0530,2024-09-17 15:04:27 +0530,0:00:00
postcsv-API,Success,6,0,2024-02-21 19:40:55 +0530,2024-02-22 16:11:26 +0530,0:00:00
Exata/fg,Success,2,1,2024-09-04 15:17:22 +0530,2024-09-04 15:18:03 +0530,0:00:04
callStack_Function,Success,1,0,2024-02-22 16:40:08 +0530,2024-02-22 16:40:08 +0530,0:00:00
Test3/Untitled3,Success,3,0,2024-09-23 14:11:47 +0530,2024-09-23 14:12:53 +0530,0:00:15
PG2-API,Failure,1,1,2024-05-06 10:03:13 +0530,2024-05-06 10:03:13 +0530,0:00:00
naturalTimes,Success,4,3,2024-10-16 11:29:06 +0530,2024-10-17 13:27:39 +0530,0:00:00
RD/Untitled,Success,1,0,2024-06-27 14:06:27 +0530,2024-06-27 14:06:27 +0530,0:00:00
Games/RSV,Success,1,0,2024-04-08 14:40:52 +0530,2024-04-08 14:40:52 +0530,0:00:00
Games/Wan,Success,46,0,2024-02-19 10:28:23 +0530,2024-02-19 15:30:15 +0530,0:00:00
postcsv2-API,Success,71,2,2024-02-21 19:53:50 +0530,2024-02-22 16:07:11 +0530,0:00:00
Exata/Utility,Success,122,16,2024-08-29 15:47:55 +0530,2024-08-30 14:01:35 +0530,0:00:02
pcatVolume,Failure,3,1,2024-10-16 15:15:25 +0530,2024-10-16 15:16:20 +0530,0:00:01
Untitled1,Success,8,2,2024-10-24 11:22:38 +0530,2024-10-24 12:26:43 +0530,0:00:00
Test3/Untitled4,Success,2,0,2024-10-01 12:41:51 +0530,2024-10-01 12:42:05 +0530,0:00:00
Games/compp,Success,10,0,2024-03-07 16:05:05 +0530,2024-03-07 16:15:10 +0530,0:00:00
Games/postCSV3,Success,16,0,2024-02-21 20:58:32 +0530,2024-02-22 10:11:35 +0530,0:00:00
ShowremotewindowCommand,Success,8,2,2025-03-26 19:26:49 +0530,2025-03-26 19:34:39 +0530,0:00:02
Games/Harman-1,Success,15,0,2024-03-18 14:19:16 +0530,2024-03-18 14:42:12 +0530,0:00:00
Today2506/rolling,Success,15,0,2024-07-02 15:05:54 +0530,2024-07-05 12:36:11 +0530,0:00:05
Test5/TC_B_Contact_Us,Failure,6,5,2024-04-24 10:50:17 +0530,2024-04-24 10:50:46 +0530,0:00:00
DGE-API,Success,2,0,2024-05-10 17:14:24 +0530,2024-05-30 14:10:59 +0530,0:00:01
Games/Kcom,Success,4,0,2024-09-20 13:59:39 +0530,2024-09-20 15:27:33 +0530,0:00:02
Test4/OCR_Issue_0Errors,Failure,1,1,2024-09-05 15:14:32 +0530,2024-09-05 15:14:32 +0530,0:00:00
Test5/Master_Script,Success,2,0,2024-04-24 10:51:05 +0530,2024-04-24 10:53:46 +0530,0:00:00
Games/ScalingProperty,Success,22,16,2024-04-03 20:08:43 +0530,2024-04-05 10:13:03 +0530,0:00:00
Untitled3,Success,162,0,2024-10-28 13:32:37 +0530,2025-03-26 10:26:31 +0530,0:00:00
Today30072024/ocrFinding,Success,1,0,2024-08-01 16:47:25 +0530,2024-08-01 16:47:25 +0530,0:00:03
Games/clipboardIssue,Success,4,0,2024-04-12 09:54:30 +0530,2024-04-12 11:03:00 +0530,0:00:01
docFunError,Success,28,10,2024-10-09 12:36:40 +0530,2024-10-17 12:50:12 +0530,0:00:00
Today30072024/timerCount,Success,1,0,2024-07-30 10:35:43 +0530,2024-07-30 10:35:43 +0530,0:00:01
Games/Json read,Success,3,1,2024-02-06 17:40:44 +0530,2024-02-06 17:42:01 +0530,0:00:00
PG1-API,Success,3,0,2024-05-06 09:53:00 +0530,2024-05-06 09:57:10 +0530,0:00:05
Games/RunningPostman,Success,4,0,2024-04-11 18:19:32 +0530,2024-04-11 18:22:46 +0530,0:00:00
Darran,Failure,11,1,2024-10-22 23:10:33 +0530,2024-10-23 15:58:57 +0530,0:00:00
