Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-06-20 14:41:44.425 +0530,"Success",0:00:00,0,0,0,"20240620_144144.425/LogFile.txt","","",1
2024-06-20 14:41:51.727 +0530,"Success",0:00:00,0,0,0,"20240620_144151.727/LogFile.txt","","",1
2024-06-20 14:42:17.234 +0530,"Success",0:00:00,0,0,0,"20240620_144217.234/LogFile.txt","","",1
2024-06-20 14:43:29.512 +0530,"Success",0:00:00,0,0,0,"20240620_144329.512/LogFile.txt","","",1
2024-06-20 14:43:52.238 +0530,"Success",0:00:00,0,0,0,"20240620_144352.238/LogFile.txt","","",1
2024-06-20 14:44:15.512 +0530,"Success",0:00:00,0,0,0,"20240620_144415.512/LogFile.txt","","",1
2024-06-20 14:44:42.725 +0530,"Success",0:00:00,0,0,0,"20240620_144442.725/LogFile.txt","","",1
2024-06-20 16:27:36.073 +0530,"Success",0:00:00,0,0,0,"20240620_162736.073/LogFile.txt","","",1
2024-06-20 17:07:27.278 +0530,"Success",0:00:00,0,0,0,"20240620_170727.278/LogFile.txt","","",1
2024-06-20 17:12:41.499 +0530,"Success",0:00:00,0,0,0,"20240620_171241.499/LogFile.txt","","",1
2024-06-20 17:13:07.749 +0530,"Success",0:00:00,0,0,0,"20240620_171307.749/LogFile.txt","","",1
2024-06-20 17:14:05.089 +0530,"Failure",0:00:00,1,0,0,"20240620_171405.089/LogFile.txt","","STInvalidNumber -- Value is not a number: '{airports:[""Denve...'",0
2024-06-21 11:37:44.956 +0530,"Failure",0:01:01,1,0,0,"20240621_113744.956/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'people'",0
2024-06-21 11:41:34.197 +0530,"Success",0:00:05,0,0,0,"20240621_114134.197/LogFile.txt","","",1
2024-06-21 16:42:45.863 +0530,"Success",0:00:00,0,0,0,"20240621_164245.863/LogFile.txt","","",1
2024-06-21 16:43:05.711 +0530,"Success",0:00:00,0,0,0,"20240621_164305.711/LogFile.txt","","",1
2024-06-21 16:49:46.353 +0530,"Success",0:00:00,0,0,0,"20240621_164946.353/LogFile.txt","","",1
2024-06-21 16:49:57.945 +0530,"Success",0:00:00,0,0,0,"20240621_164957.945/LogFile.txt","","",1
2024-06-21 16:50:45.527 +0530,"Failure",0:00:00,1,0,0,"20240621_165045.527/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'people'",0
2024-06-21 16:50:53.594 +0530,"Success",0:00:00,0,0,0,"20240621_165053.594/LogFile.txt","","",1
2024-06-21 16:51:13.519 +0530,"Success",0:00:00,0,0,0,"20240621_165113.519/LogFile.txt","","",1
2024-06-21 16:52:26.495 +0530,"Failure",0:00:00,1,0,0,"20240621_165226.495/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'people'",0
2024-06-21 16:53:10.919 +0530,"Success",0:00:00,0,0,0,"20240621_165310.919/LogFile.txt","","",1
2024-06-21 17:03:53.656 +0530,"Failure",0:00:00,1,0,0,"20240621_170353.656/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'reference'",0
2024-06-21 17:16:59.341 +0530,"Success",0:00:00,0,0,0,"20240621_171659.341/LogFile.txt","","",1
2024-06-21 17:17:39.013 +0530,"Success",0:00:00,0,0,0,"20240621_171739.013/LogFile.txt","","",1
2024-06-21 17:26:37.897 +0530,"Success",0:00:00,0,0,0,"20240621_172637.897/LogFile.txt","","",1
2024-06-21 17:27:01.031 +0530,"Success",0:00:00,0,0,0,"20240621_172701.031/LogFile.txt","","",1
2024-06-21 17:27:12.744 +0530,"Success",0:00:00,0,0,0,"20240621_172712.744/LogFile.txt","","",1
2024-06-21 17:28:49.419 +0530,"Success",0:00:00,0,0,0,"20240621_172849.419/LogFile.txt","","",1
2024-06-21 17:29:54.761 +0530,"Success",0:00:00,0,0,0,"20240621_172954.761/LogFile.txt","","",1
2024-06-21 17:58:58.024 +0530,"Success",0:00:00,0,0,0,"20240621_175858.024/LogFile.txt","","",1
2024-06-21 17:59:10.658 +0530,"Success",0:00:00,0,0,0,"20240621_175910.658/LogFile.txt","","",1
2024-06-21 17:59:18.803 +0530,"Success",0:00:00,0,0,0,"20240621_175918.803/LogFile.txt","","",1
2024-06-21 17:59:52.924 +0530,"Failure",0:00:00,1,0,0,"20240621_175952.924/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'CONTAINER'",0
2024-06-21 18:03:23.533 +0530,"Failure",0:00:00,1,0,0,"20240621_180323.533/LogFile.txt","","Invalid JSON -- Can't get value of JSON expression",0
2024-06-21 18:04:09.830 +0530,"Failure",0:00:00,1,0,0,"20240621_180409.830/LogFile.txt","","Invalid JSON -- Can't get value of JSON expression",0
2024-06-21 18:07:40.832 +0530,"Failure",0:00:00,1,0,0,"20240621_180740.832/LogFile.txt","","Invalid JSON -- Can't get value of JSON expression",0
2024-06-21 18:07:56.166 +0530,"Success",0:00:00,0,0,0,"20240621_180756.166/LogFile.txt","","",1
2024-06-21 18:08:16.358 +0530,"Success",0:00:00,0,0,0,"20240621_180816.358/LogFile.txt","","",1
2024-06-21 18:08:39.471 +0530,"Success",0:00:00,0,0,0,"20240621_180839.471/LogFile.txt","","",1
2024-06-21 18:10:55.895 +0530,"Success",0:00:00,0,0,0,"20240621_181055.895/LogFile.txt","","",1
2024-06-21 18:11:08.900 +0530,"Success",0:00:00,0,0,0,"20240621_181108.900/LogFile.txt","","",1
2024-06-21 18:11:30.488 +0530,"Success",0:00:00,0,0,0,"20240621_181130.488/LogFile.txt","","",1
2024-06-21 18:11:41.869 +0530,"Success",0:00:00,0,0,0,"20240621_181141.869/LogFile.txt","","",1
