Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-07-02 15:05:54.285 +0530,"Success",0:00:04,0,0,0,"20240702_150554.285/LogFile.txt","","",1
2024-07-02 15:06:01.895 +0530,"Success",0:00:00,0,0,0,"20240702_150601.895/LogFile.txt","","",1
2024-07-02 15:06:09.326 +0530,"Success",0:00:00,0,0,0,"20240702_150609.326/LogFile.txt","","",1
2024-07-02 15:06:13.033 +0530,"Success",0:00:00,0,0,0,"20240702_150613.033/LogFile.txt","","",1
2024-07-02 15:07:11.194 +0530,"Aborted",0:00:21,1,0,0,"20240702_150711.194/LogFile.txt","","",0
2024-07-02 15:07:54.399 +0530,"Aborted",0:00:34,1,0,0,"20240702_150754.399/LogFile.txt","","",0
2024-07-02 15:24:32.750 +0530,"Aborted",0:00:06,1,0,0,"20240702_152432.750/LogFile.txt","","",0
2024-07-02 15:27:44.862 +0530,"Success",0:00:00,0,0,0,"20240702_152744.862/LogFile.txt","","",1
2024-07-02 15:27:47.679 +0530,"Success",0:00:01,0,0,0,"20240702_152747.679/LogFile.txt","","",1
2024-07-02 15:29:26.252 +0530,"Success",0:00:02,0,0,0,"20240702_152926.252/LogFile.txt","","",1
2024-07-05 12:28:16.315 +0530,"Success",0:00:05,0,0,0,"20240705_122816.315/LogFile.txt","","",1
2024-07-05 12:29:11.677 +0530,"Success",0:00:02,0,0,0,"20240705_122911.677/LogFile.txt","","",1
2024-07-05 12:30:36.870 +0530,"Aborted",0:00:21,1,0,0,"20240705_123036.870/LogFile.txt","","",0
2024-07-05 12:31:07.928 +0530,"Success",0:00:15,0,0,0,"20240705_123107.928/LogFile.txt","","",1
2024-07-05 12:32:38.884 +0530,"Success",0:00:15,0,0,0,"20240705_123238.884/LogFile.txt","","",1
2024-07-05 12:33:32.475 +0530,"Success",0:00:10,0,1,0,"20240705_123332.475/LogFile.txt","","",1
2024-07-05 12:34:58.324 +0530,"Success",0:00:10,0,1,0,"20240705_123458.324/LogFile.txt","","",1
2024-07-05 12:35:56.752 +0530,"Success",0:00:10,0,1,0,"20240705_123556.752/LogFile.txt","","",1
2024-07-05 12:36:11.855 +0530,"Success",0:00:10,0,1,0,"20240705_123611.855/LogFile.txt","","",1
